,1A0S,1A6M,1A49,1ADO,1AIR,1AX8,1B8E,1BA7,1BE3,1BGL,1BLF,1BN6,1CBJ,1CF3,1DGF,1DOT,1ED9,1ELP,1FA2,1FCP,1FEP,1GPB,1HA4,1HA7,1HC9,1HDA,1HK0,1HNN,1HRC,1HZX,1IGT,1J95,1K6J,1KCW,1KPK,1L7V,1LES,1LIN,1M8U,1N5U,1NEK,1NKZ,1NLS,1NQH,1OFS,1OVA,1PCR,1PPN,1QFE,1QHJ,1RH5,1RHS,1T5S,1THW,1UBI,1UNE,1XL4,1YMB,2A65,1BB2,2CFQ,2CGA,2CTS,2DHQ,2DYR,2GIF,2J58,2NOP,2NR9,2OAR,2PSG,2VDF,2WJN,3DNI,3EST,3JQO,3PGK,3PMG,3RN3,4GCR,5CHA,7TIM,193L
180,-0.213468,5.15805,0.122388,2.19357,-2.39127,4.64913,-0.978407,-0.83654,0.683351,0.451836,1.01915,1.00738,-2.18794,0.383326,0.274866,0.627357,0.509128,-1.47293,-0.000736615,-3.49794,-1.37137,1.79531,-0.328981,5.43743,-2.41835,3.21933,-2.03709,0.688195,1.84704,6.77405,-1.72079,4.59285,-1.19002,-2.69059,5.99,2.61781,-3.86727,2.06393,-1.13717,6.30692,2.07782,6.91602,-2.30368,-4.38341,-3.52602,1.42289,0.695599,1.95452,0.895341,2.10365,5.80798,-0.592856,1.94178,-1.18492,-0.970114,2.44443,0.462741,5.14936,3.46441,-1.45377,3.09104,0.455299,3.48841,2.32425,-0.210266,1.82543,0.563255,3.84225,2.40037,5.64831,-2.29038,-2.11311,2.72648,-1.22207,-0.0707075,1.69522,1.2597,0.715863,0.652632,-2.152,-0.246813,2.44036,1.0807
181,0.0673711,5.75064,0.556068,2.69014,-1.96737,5.2455,-0.365564,-0.411038,1.27283,0.800404,1.38208,1.34281,-1.82909,0.894798,0.77918,1.07131,0.904295,-0.823065,0.572949,-2.97554,-1.18252,2.35611,0.523055,6.15735,-2.5606,3.49185,-1.63977,1.03004,2.06999,7.0249,-1.62126,5.89262,-0.913179,-2.3877,6.95,3.14674,-3.61146,2.51522,-0.471203,7.0698,2.52299,7.65928,-1.99028,-3.80249,-3.09146,2.23524,1.0279,2.14847,1.3625,2.46684,6.45185,-0.0712608,2.65688,-0.865661,-0.637368,2.73535,0.711966,5.77043,4.23338,-1.15218,3.58858,0.742126,4.03971,2.84345,0.221999,2.34722,1.32979,4.75309,2.78732,6.18819,-2.137,-1.59677,3.17696,-0.92271,0.160664,1.85253,1.81951,1.32424,0.808588,-1.63894,0.105151,3.02867,1.4648
182,0.545362,6.43617,1.20073,3.21849,-1.44035,5.79784,0.35386,0.0440104,1.94208,1.1229,1.86844,1.67078,-1.43616,1.6486,1.38575,1.4921,1.37635,-0.0969086,1.15532,-2.39142,-0.941395,2.99266,1.34385,7.01317,-2.6017,3.86037,-1.24626,1.36186,2.24362,7.31617,-1.49296,7.14853,-0.655785,-2.07659,7.98,3.91751,-3.31553,3.09114,0.139729,7.88529,3.04863,8.47594,-1.64719,-3.05739,-2.71265,3.04832,1.37885,2.35081,1.90033,2.92349,7.1015,0.504654,3.428,-0.520939,-0.315513,3.05762,1.04834,6.4705,5.23925,-0.639989,4.07943,1.00076,4.87048,3.43017,0.832017,2.89584,1.90862,5.64742,3.27973,6.78479,-1.92222,-1.04381,3.76638,-0.583643,0.403715,2.1194,2.29826,2.00671,0.935402,-0.993486,0.495588,3.74196,1.9377
183,1.03369,7.28226,1.75435,3.63388,-0.863363,6.47057,1.04342,0.50494,2.71883,1.43499,2.19339,2.42351,-0.969626,2.44715,1.98114,2.02189,1.76087,0.625805,1.76379,-1.71742,-0.721685,3.63216,2.12366,8.07955,-2.72574,4.32963,-0.776557,1.93717,2.44702,7.6934,-1.34107,8.02546,-0.318758,-1.72302,9.1,4.75393,-2.9943,3.71854,0.799801,8.87793,3.63068,9.38358,-1.35282,-2.19415,-2.26788,3.86036,1.83698,2.61134,2.49134,3.5813,7.84754,1.08394,4.25523,-0.137438,0.092194,3.37319,1.3799,7.36076,6.01342,-0.102908,4.74205,1.23114,5.91917,4.06663,1.49333,3.51314,2.26252,6.27582,4.28738,7.36497,-1.69897,-0.482953,4.33259,-0.218892,0.648802,2.52521,3.02707,2.70361,1.03843,-0.267388,0.891872,4.48259,2.40459
184,1.68527,8.29001,2.49654,4.27767,-0.206143,7.40366,1.69635,0.924187,3.579,1.7493,2.5988,3.26877,-0.447071,3.19483,2.66231,2.5998,2.19205,1.34102,2.35485,-1.04171,-0.480974,4.24538,2.73598,9.34548,-2.79324,4.94949,-0.264214,2.49736,2.6384,8.1458,-1.19018,8.94632,0.147252,-1.40513,10.3,5.49144,-2.66182,4.56079,1.44728,9.99296,4.31689,10.4315,-0.970398,-1.35651,-1.8049,4.5653,2.51399,2.7781,3.23391,4.41265,8.91916,1.69914,5.10297,0.277349,0.551803,3.76426,1.66243,8.41771,6.83046,0.569773,5.58175,1.41228,7.00001,4.76435,2.20598,4.35001,3.05926,7.04728,5.02883,7.93375,-1.42933,0.0753426,5.0627,0.316045,0.779252,2.76319,3.72298,3.47553,1.14052,0.547594,1.21403,5.23815,2.93923
185,2.35235,9.44284,3.20941,5.073,0.52118,8.17337,2.25593,1.34137,4.52283,2.08986,3.08077,3.6199,0.0333015,3.82398,3.30586,3.16476,2.74244,1.93471,2.88888,-0.426744,-0.30853,4.88217,3.14127,10.8556,-2.84206,5.72827,0.290281,3.03705,2.7501,8.6578,-1.01809,9.90081,0.660181,-1.11863,11.5,6.27877,-2.07552,5.51681,2.16401,11.0346,5.093,11.6592,-0.571529,-0.508884,-1.28048,5.24006,3.28937,2.98617,4.04427,5.42692,10.073,2.3601,6.09291,0.720204,1.06659,4.1932,2.03185,9.60005,7.65923,1.20193,6.45676,1.48541,8.10524,5.36344,2.97355,5.2421,3.89945,7.86492,5.73451,8.53714,-1.12541,0.522195,5.87791,0.792044,0.806908,3.09601,4.45729,4.2452,1.25161,1.42012,1.4716,5.99902,3.472
186,2.93686,10.7238,3.77404,6.01864,1.26539,9.02449,2.7891,1.7003,5.5495,2.41631,3.431,3.96879,0.484548,4.37823,3.90825,3.72565,3.30232,2.58363,3.37325,0.289148,-0.0826638,5.64255,3.35504,12.519,-2.84994,6.72561,0.929863,3.62271,2.82393,9.27379,-0.83051,11.0604,1.34172,-0.930239,12.7,7.0496,-1.38102,6.53501,2.87005,12.0995,5.84127,12.843,-0.237558,0.380248,-0.591282,5.8602,4.09156,3.17729,4.90816,6.57294,11.2529,3.0605,7.15604,1.20603,1.67453,4.63667,2.51535,10.893,8.47779,1.7947,7.53773,1.44737,8.96458,5.98704,3.90059,6.2102,4.23914,8.96668,6.61656,9.227,-0.770396,0.956895,6.65779,1.23153,0.711509,3.22993,5.40238,4.94232,1.32471,2.15629,1.59949,6.62776,4.07288
187,3.45032,12.0643,4.45652,7.23668,1.98535,10.1178,3.15276,1.93614,6.65584,2.67963,3.5801,4.52213,0.89366,4.85034,4.52647,4.29339,3.84685,3.11126,3.8976,1.01702,0.121865,6.36021,3.48776,14.3245,-2.77594,7.87665,1.53375,4.19667,2.95462,9.94429,-0.679207,12.1392,1.96849,-0.762189,13.9,7.96591,-0.568786,7.82812,3.58417,13.1545,6.70985,14.2141,0.186099,1.48525,0.154518,6.50039,4.95557,3.32364,5.87311,7.79794,12.405,3.68803,8.09888,1.7007,2.30864,5.06374,3.07051,12.1559,9.40741,2.41628,8.74962,1.28793,10.0583,6.51015,5.03567,7.22176,4.94487,10.1393,7.71593,9.95369,-0.320462,1.35853,7.42989,1.73417,0.50276,3.35718,6.14029,5.67458,1.40045,2.94748,1.60668,7.1258,4.66164
188,4.06394,13.4105,5.3432,8.41149,2.73137,11.1234,3.49685,2.02059,7.79169,2.96456,3.83579,5.2129,1.23379,5.34254,5.03478,4.95441,4.31846,3.49522,4.36303,1.78562,0.371238,7.1367,3.68003,16.1193,-2.63411,9.18067,2.12107,4.82325,3.03731,10.6401,-0.524345,13.1942,2.49686,-0.62518,14.9,8.8934,0.420902,9.16615,4.07524,14.0483,7.63149,15.573,0.612126,2.39707,0.924491,6.94467,5.94096,3.40836,6.71778,9.12874,13.4085,4.22313,9.13461,2.04496,2.86318,5.57638,3.64193,13.4423,10.5851,3.0022,10.0705,1.02325,11.1283,6.92507,6.15815,8.2064,5.16252,11.1678,8.87723,10.6498,0.107706,1.64521,8.26326,2.2059,0.194644,3.28707,6.75933,6.28006,1.51481,3.70275,1.60437,7.53027,5.19523
189,4.59219,14.662,5.95022,9.52093,3.30564,12.059,3.77904,1.98412,8.87109,3.22309,3.95884,6.15624,1.47895,5.73547,5.38204,5.56512,4.76215,3.75186,4.71125,2.54577,0.656572,7.81926,3.66447,17.7557,-2.52599,10.565,2.77946,5.48071,3.2455,11.3217,-0.383407,14.0856,3.04084,-0.467829,15.7,9.87694,1.43994,10.3622,4.39065,14.9479,8.57703,16.7598,1.0269,3.48002,1.79674,7.20722,6.90438,3.37918,7.55267,10.5432,14.233,4.70847,10.1645,2.39811,3.30435,6.00709,4.14364,14.6761,11.602,3.42281,11.5317,0.725951,12.2945,7.29388,7.15717,9.15077,5.29127,12.1387,10.0755,11.2585,0.527394,1.89359,8.9037,2.62266,-0.206363,3.14106,7.22855,6.8245,1.68276,4.44749,1.42137,7.80686,5.63131
