WL,1ED9,1FA2,1NLS,1M8U,193L,3EST,1ELP,1BA7,2GIF,1DOT,1A49,1HZX,2CGA,2NOP,1BLF,1QFE,1DGF,1RH5,3PMG,1CBJ,3PGK,7TIM,2DHQ,1ADO,3RN3,1PPN,1B8E,2WJN,1UBI,1LES,1NEK,1LIN,2BB2,1OVA,1XL4,1YMB,1T5S,3DNI,1FCP,2OAR,5CHA,1UNE,1IGT,1L7V,1HDA,1AIR,1FEP,3JQO,2A65,1CF3,2PSG,1A6M,1HRC,2J58,1AX8,1RHS,1J95,1BE3,1NKZ,1HNN,1AOS,1BN6,2VDF,1OFS,1HC9,1HA4,1KCW,1HK0,1K6J,1THW,2NR9,1GPB,1NQH,1PCR,4GCR,2CTS,1HA7,1N5U,1KPK,2CFQ,2DYR,1QHJ
180,0.150928538,0.433371547,-2.816587691,-1.754225676,1.096399067,-1.008089805,-1.488967714,-0.754387143,2.224744914,0.500511805,0.887280891,3.315541849,-0.16295068,3.465953499,0.678929992,1.005422818,0.541677356,3.065554482,0.644359401,-1.866130792,1.098067408,1.736544614,1.121057567,1.852900624,0.324367436,1.186984758,-0.795207787,2.346173362,-0.469694475,-2.672577862,2.073555368,3.048805916,-1.625061035,0.770406489,0.151909306,4.299416439,1.953885587,-0.33524753,-3.096560361,2.29794852,-0.376461667,2.423022599,-1.804750648,2.661976104,4.011952989,-2.415621707,-2.77937435,0.418980081,4.230097195,0.488753049,-1.365758903,4.686947113,1.69244329,0.263682377,3.791613997,-0.078015289,2.820447603,1.858616843,5.169705875,0.528134772,-1.424753901,0.996512611,-2.543346499,-2.744394225,-2.02725184,-0.853759813,-1.277675997,-2.05805735,-0.256595764,-1.161133068,3.876171557,1.953191415,-3.50620507,1.957373251,-1.795106916,3.253798087,4.787279566,4.812981055,3.953516714,3.400422415,2.785603794,4.839280911
181,0.613927076,0.933629814,-2.468821576,-1.327015716,1.429286511,-0.744413258,-1.048108528,-0.409456849,2.769532706,0.904962014,1.349096767,3.828756722,0.129466765,3.986483236,1.066115712,1.518139859,0.988267627,3.594111686,1.187656286,-1.556813607,1.628250436,2.294910881,1.632567488,2.365682353,0.584989232,1.460686265,-0.31346409,2.80110272,-0.116314319,-2.322805985,2.54654722,3.582890541,-1.17776016,1.371342217,0.506082661,4.937272636,2.525527554,0.043257433,-2.638274452,2.789467351,-0.047662726,2.784409899,-1.396220898,3.210867785,4.471787978,-1.977900647,-2.405832893,0.72566176,4.871345978,0.950542919,-1.086704214,5.287050733,1.984610497,0.826098084,4.374776108,0.385705342,3.274787587,2.328340142,5.836570512,0.966465192,-1.087046957,1.433195981,-2.023829627,-2.399361859,-1.814437802,-0.257550298,-0.998892949,-1.656466943,0.166953843,-0.830359241,4.478959972,2.485143535,-2.993377671,2.412964901,-1.336440582,3.795946624,5.432710201,5.484470806,4.613648965,3.964349497,3.293404555,5.537034219
182,1.104509605,1.466902029,-2.093051576,-0.843415743,1.833948721,-0.452654683,-0.557077607,-0.055506527,3.365437673,1.319991207,1.876747213,4.418870939,0.433670581,4.583594371,1.514880313,2.102001249,1.508631269,4.193827879,1.796984041,-1.222487966,2.136386096,2.950692219,2.218931702,2.925979724,0.849478005,1.75318167,0.219346932,3.354529248,0.261616319,-1.939241162,3.085457429,4.190896789,-0.666035175,2.00168479,0.910703777,5.659636783,3.156367982,0.468222459,-2.116404306,3.333733372,0.302953733,3.190389699,-0.945853172,3.891016242,5.032206669,-1.46927069,-1.973944395,1.083322479,5.598117737,1.559223875,-0.744166604,5.986863061,2.266002413,1.323521999,5.013830289,0.893382458,3.757707473,2.861767117,6.567170106,1.453778008,-0.609993691,1.907042606,-1.435655528,-2.025022617,-1.561923402,0.365049065,-0.699595796,-1.224212565,0.615506519,-0.477849584,5.158467795,3.090851482,-2.363509685,2.93887984,-0.786373952,4.499150032,6.173913691,6.234148001,5.354551788,4.594370745,3.893229098,6.299324025
183,1.576407645,2.044411651,-1.702554585,-0.319786268,2.234971969,-0.160697771,-0.030369027,0.299975576,4.022405721,1.791333223,2.432880793,5.104406616,0.732855941,5.291658468,1.914963996,2.742689914,2.045361714,4.875640373,2.422505116,-0.869485137,2.814915821,3.647328842,2.907741981,3.455136568,1.095633728,2.086466052,0.776105917,3.945113372,0.697356718,-1.535754952,3.676147657,4.866061875,-0.10471466,2.625557053,1.330242906,6.440500517,3.830958887,0.937573662,-1.544510397,3.965395454,0.671433259,3.60606634,-0.481777223,4.63997104,5.70598955,-0.916272505,-1.51397345,1.508527113,6.339306944,2.218100501,-0.373113448,6.816306703,2.562990027,1.721952133,5.765622486,1.425724248,4.302120075,3.454899151,7.423095678,1.999228344,-0.110952154,2.621633383,-0.812663985,-1.636193873,-1.339754513,1.009074612,-0.397066524,-0.727448913,1.109753632,-0.12175872,5.958408266,3.731317756,-1.651913381,3.521588677,-0.173793728,5.339733279,7.011419666,7.087140747,6.155512809,5.263080274,4.580866065,7.112290301
184,2.13714837,2.650006642,-1.277674108,0.231463357,2.703587,0.117666759,0.507064437,0.598183168,4.816113787,2.303609878,3.065138765,5.909841926,0.994556265,6.11452145,2.376993818,3.505786355,2.646778523,5.690210486,3.114608928,-0.501684143,3.506206928,4.401225613,3.680150912,4.140603258,1.345267046,2.384761865,1.320375268,4.648974216,1.174143326,-1.109120577,4.351345428,5.682755521,0.485391775,3.245012117,1.785628811,7.351397928,4.571310516,1.50875955,-0.955480411,4.688864234,1.005859518,4.096839344,-0.017053017,5.434878463,6.521437447,-0.295957854,-1.02649957,1.868489161,7.176480192,2.881553751,0.03419382,7.796642514,2.885549836,2.346154021,6.67834224,2.003647835,4.945763307,4.135327153,8.443034391,2.605358404,0.490349528,3.424424636,-0.187447686,-1.21849963,-1.096463877,1.602269509,-0.111424219,-0.197415952,1.677189556,0.254714275,6.824742051,4.418493881,-0.928036706,4.210197164,0.485411013,6.247521517,7.987042974,8.038640772,7.018260232,6.045198477,5.373335068,8.051003667
185,2.742035036,3.217892235,-0.813585069,0.75462412,3.164052093,0.374076789,1.01257531,0.888792738,5.663656681,2.820733751,3.732552653,6.7529529,1.200731648,6.948085305,2.878892814,4.30733326,3.232954963,6.551699851,3.822397658,-0.153841003,4.229822361,5.160515836,4.371662294,4.914987748,1.607853715,2.711084704,1.817905035,5.378970866,1.658511025,-0.638784836,5.092251515,6.568540489,1.039806204,3.878124799,2.26837002,8.370052853,5.38674647,2.054838353,-0.392260415,5.444075043,1.328809754,4.622489562,0.443419863,6.286337364,7.423976357,0.344245655,-0.518559414,2.258420888,8.08021652,3.478910273,0.430447034,8.887115384,3.202609627,2.997430592,7.573841728,2.610390336,5.59999269,4.852828918,9.512413754,3.216341389,1.085340377,3.986506333,0.410754334,-0.75886021,-0.835296121,2.100740415,0.15876817,0.324425261,2.277994795,0.661568808,7.715442366,5.131579906,-0.196489705,4.957441165,1.151852254,7.194892885,9.068435235,9.062021929,7.928838078,6.883368318,6.223751108,9.074895285
186,3.307969978,3.762670987,-0.319556137,1.24398098,3.644148866,0.557344699,1.484518016,1.078701828,6.566360996,3.322232232,4.405784422,7.642386085,1.30550177,7.838226064,3.319046204,5.152881776,3.797191029,7.453366348,4.506954253,0.134817259,5.075323301,5.870582558,5.072662949,5.779225151,1.826733656,3.014825441,2.286772975,6.099921054,2.167809796,-0.137800426,5.830447186,7.505566689,1.563943295,4.486749494,2.770085859,9.492523034,6.242842901,2.586963166,0.23659349,6.241402169,1.560392699,5.162343869,0.887583458,7.182232103,8.480891956,0.979455439,0.034261696,2.543207354,9.084473729,4.03899402,0.831770676,10.09890281,3.508029592,3.403061873,8.527200318,3.237948122,6.28651677,5.597979866,10.65863742,3.8300051,1.655214705,4.562594613,1.035121853,-0.267646143,-0.598848624,2.496427784,0.361223219,0.877326516,2.935040263,1.07478132,8.676078443,5.899355279,0.591095878,5.727154903,1.727340502,8.085586477,10.25537858,10.1787235,8.90339614,7.828364201,7.116688375,10.19268499
187,3.899861122,4.338611831,0.235305074,1.721554967,4.118840546,0.689415232,1.931075732,1.155566454,7.514293849,3.824367673,5.087982271,8.648105635,1.32749905,8.87247389,3.69689572,6.058544883,4.38505273,8.508026003,5.221235775,0.367585357,5.84766983,6.525746073,5.776864942,6.789494172,2.027345502,3.298272173,2.709232389,6.84903577,2.676192896,0.41728635,6.646089922,8.585659145,2.07920982,5.125737388,3.307524601,10.68234024,7.087560445,3.16532701,0.893264993,7.155058893,1.730468652,5.710481353,1.317660173,8.190340434,9.667749731,1.576630078,0.649206016,2.79844927,10.18008764,4.567893962,1.266161354,11.40203233,3.864933916,3.978081441,9.629282678,3.833198653,7.095152317,6.407290725,11.9503602,4.46102679,2.214810879,5.249780655,1.686541469,0.278590499,-0.358377052,2.852366142,0.524764962,1.406213922,3.569997636,1.484957578,9.745108923,6.676877028,1.52760936,6.558407442,2.313474345,9.134550842,11.53721337,11.38850781,9.966505747,8.873240023,8.121348147,11.36465292
188,4.40197306,4.872472275,0.800210117,2.125849656,4.575386166,0.769602508,2.329664585,1.098741102,8.445329455,4.344597946,5.771966044,9.642229453,1.264022094,9.884914454,4.106844918,6.893475745,4.902734191,9.556703256,5.866659218,0.538732524,6.526731443,7.126498145,6.437981161,7.768220705,2.229034743,3.528132943,3.106575788,7.609439016,3.132118035,0.971849002,7.473264602,9.660270489,2.518958792,5.665972905,3.827993539,11.91350839,7.95575065,3.705876322,1.566082377,8.048661666,1.814207368,6.301901011,1.72314638,9.197693437,10.9376415,2.151981762,1.261263226,2.939506953,11.3088027,5.092044439,1.67147094,12.74277352,4.191538814,4.307921702,10.70567779,4.363111651,7.876838171,7.228857559,13.21907816,5.077244685,2.825112242,5.985663117,2.257846388,0.835896249,-0.144885506,3.195238316,0.645353569,1.905131988,4.140779206,1.835817272,10.80590499,7.469900471,2.366331831,7.410608609,2.850802941,10.17077098,12.84069501,12.59171699,11.01617599,9.982513567,9.124106458,12.50816994
189,4.856539474,5.31603099,1.383991841,2.438751042,4.971166762,0.778781904,2.652742674,0.897442985,9.324210928,4.803161418,6.396626741,10.57688367,1.116268942,10.84337989,4.427178943,7.69017978,5.311678287,10.54016323,6.461573885,0.624929086,7.086102419,7.6345394,7.052796794,8.681922693,2.421167332,3.66401381,3.433399584,8.240890338,3.498304134,1.539892838,8.274420099,10.65225984,2.86164994,6.109187436,4.292157068,13.09874542,8.784744645,4.185355403,2.248103611,8.894131711,1.794900796,6.827653039,2.081166566,10.16979252,12.21971696,2.597345137,1.909909287,2.984142412,12.37732966,5.537015582,2.036119151,14.04929043,4.56149131,4.566403905,11.69779777,4.832317467,8.637879334,8.007111368,14.4023416,5.660993134,3.410183308,6.801857041,2.821777833,1.410019124,0.026104537,3.41327818,0.716714277,2.414998115,4.667095174,2.168135461,11.81196766,8.181054501,3.304760768,8.19457542,3.341683234,11.21466523,14.0831063,13.72621991,12.00439003,11.08243005,10.07200461,13.55739412
